dataset,instancia,n,R,archivo
mejor-caso-BT-F,BT-F-MC-1,1,1,instancias/mejor-caso-BT-F/BT-F-MC-1.txt
mejor-caso-BT-F,BT-F-MC-2,2,1,instancias/mejor-caso-BT-F/BT-F-MC-2.txt
mejor-caso-BT-F,BT-F-MC-3,3,1,instancias/mejor-caso-BT-F/BT-F-MC-3.txt
mejor-caso-BT-F,BT-F-MC-4,4,1,instancias/mejor-caso-BT-F/BT-F-MC-4.txt
mejor-caso-BT-F,BT-F-MC-5,5,1,instancias/mejor-caso-BT-F/BT-F-MC-5.txt
mejor-caso-BT-F,BT-F-MC-6,6,1,instancias/mejor-caso-BT-F/BT-F-MC-6.txt
mejor-caso-BT-F,BT-F-MC-7,7,1,instancias/mejor-caso-BT-F/BT-F-MC-7.txt
mejor-caso-BT-F,BT-F-MC-8,8,1,instancias/mejor-caso-BT-F/BT-F-MC-8.txt
mejor-caso-BT-F,BT-F-MC-9,9,1,instancias/mejor-caso-BT-F/BT-F-MC-9.txt
mejor-caso-BT-F,BT-F-MC-10,10,1,instancias/mejor-caso-BT-F/BT-F-MC-10.txt
mejor-caso-BT-F,BT-F-MC-11,11,1,instancias/mejor-caso-BT-F/BT-F-MC-11.txt
mejor-caso-BT-F,BT-F-MC-12,12,1,instancias/mejor-caso-BT-F/BT-F-MC-12.txt
mejor-caso-BT-F,BT-F-MC-13,13,1,instancias/mejor-caso-BT-F/BT-F-MC-13.txt
mejor-caso-BT-F,BT-F-MC-14,14,1,instancias/mejor-caso-BT-F/BT-F-MC-14.txt
mejor-caso-BT-F,BT-F-MC-15,15,1,instancias/mejor-caso-BT-F/BT-F-MC-15.txt
mejor-caso-BT-F,BT-F-MC-16,16,1,instancias/mejor-caso-BT-F/BT-F-MC-16.txt
mejor-caso-BT-F,BT-F-MC-17,17,1,instancias/mejor-caso-BT-F/BT-F-MC-17.txt
mejor-caso-BT-F,BT-F-MC-18,18,1,instancias/mejor-caso-BT-F/BT-F-MC-18.txt
mejor-caso-BT-F,BT-F-MC-19,19,1,instancias/mejor-caso-BT-F/BT-F-MC-19.txt
mejor-caso-BT-F,BT-F-MC-20,20,1,instancias/mejor-caso-BT-F/BT-F-MC-20.txt
mejor-caso-BT-F,BT-F-MC-21,21,1,instancias/mejor-caso-BT-F/BT-F-MC-21.txt
mejor-caso-BT-F,BT-F-MC-22,22,1,instancias/mejor-caso-BT-F/BT-F-MC-22.txt
mejor-caso-BT-F,BT-F-MC-23,23,1,instancias/mejor-caso-BT-F/BT-F-MC-23.txt
mejor-caso-BT-F,BT-F-MC-24,24,1,instancias/mejor-caso-BT-F/BT-F-MC-24.txt
mejor-caso-BT-F,BT-F-MC-25,25,1,instancias/mejor-caso-BT-F/BT-F-MC-25.txt
mejor-caso-BT-F,BT-F-MC-26,26,1,instancias/mejor-caso-BT-F/BT-F-MC-26.txt
mejor-caso-BT-F,BT-F-MC-27,27,1,instancias/mejor-caso-BT-F/BT-F-MC-27.txt
mejor-caso-BT-F,BT-F-MC-28,28,1,instancias/mejor-caso-BT-F/BT-F-MC-28.txt
mejor-caso-BT-F,BT-F-MC-29,29,1,instancias/mejor-caso-BT-F/BT-F-MC-29.txt
mejor-caso-BT-F,BT-F-MC-30,30,1,instancias/mejor-caso-BT-F/BT-F-MC-30.txt
mejor-caso-BT-F,BT-F-MC-31,31,1,instancias/mejor-caso-BT-F/BT-F-MC-31.txt
mejor-caso-BT-F,BT-F-MC-32,32,1,instancias/mejor-caso-BT-F/BT-F-MC-32.txt
mejor-caso-BT-F,BT-F-MC-33,33,1,instancias/mejor-caso-BT-F/BT-F-MC-33.txt
mejor-caso-BT-F,BT-F-MC-34,34,1,instancias/mejor-caso-BT-F/BT-F-MC-34.txt
mejor-caso-BT-F,BT-F-MC-35,35,1,instancias/mejor-caso-BT-F/BT-F-MC-35.txt
