dataset,instancia,n,R,archivo
mejor-caso-FB,FB-MC-1,1,0,instancias/mejor-caso-FB/FB-MC1.txt
mejor-caso-FB,FB-MC-2,2,0,instancias/mejor-caso-FB/FB-MC2.txt
mejor-caso-FB,FB-MC-3,3,0,instancias/mejor-caso-FB/FB-MC3.txt
mejor-caso-FB,FB-MC-4,4,0,instancias/mejor-caso-FB/FB-MC4.txt
mejor-caso-FB,FB-MC-5,5,0,instancias/mejor-caso-FB/FB-MC5.txt
mejor-caso-FB,FB-MC-6,6,0,instancias/mejor-caso-FB/FB-MC6.txt
mejor-caso-FB,FB-MC-7,7,0,instancias/mejor-caso-FB/FB-MC7.txt
mejor-caso-FB,FB-MC-8,8,0,instancias/mejor-caso-FB/FB-MC8.txt
mejor-caso-FB,FB-MC-9,9,0,instancias/mejor-caso-FB/FB-MC9.txt
mejor-caso-FB,FB-MC-10,10,0,instancias/mejor-caso-FB/FB-MC10.txt
mejor-caso-FB,FB-MC-11,11,0,instancias/mejor-caso-FB/FB-MC11.txt
mejor-caso-FB,FB-MC-12,12,0,instancias/mejor-caso-FB/FB-MC12.txt
mejor-caso-FB,FB-MC-13,13,0,instancias/mejor-caso-FB/FB-MC13.txt
mejor-caso-FB,FB-MC-14,14,0,instancias/mejor-caso-FB/FB-MC14.txt
mejor-caso-FB,FB-MC-15,15,0,instancias/mejor-caso-FB/FB-MC15.txt
mejor-caso-FB,FB-MC-16,16,0,instancias/mejor-caso-FB/FB-MC16.txt
mejor-caso-FB,FB-MC-17,17,0,instancias/mejor-caso-FB/FB-MC17.txt
mejor-caso-FB,FB-MC-18,18,0,instancias/mejor-caso-FB/FB-MC18.txt
mejor-caso-FB,FB-MC-19,19,0,instancias/mejor-caso-FB/FB-MC19.txt
mejor-caso-FB,FB-MC-20,20,0,instancias/mejor-caso-FB/FB-MC20.txt
mejor-caso-FB,FB-MC-21,21,0,instancias/mejor-caso-FB/FB-MC21.txt
mejor-caso-FB,FB-MC-22,22,0,instancias/mejor-caso-FB/FB-MC22.txt
mejor-caso-FB,FB-MC-23,23,0,instancias/mejor-caso-FB/FB-MC23.txt
mejor-caso-FB,FB-MC-24,24,0,instancias/mejor-caso-FB/FB-MC24.txt
mejor-caso-FB,FB-MC-25,25,0,instancias/mejor-caso-FB/FB-MC25.txt
mejor-caso-FB,FB-MC-26,26,0,instancias/mejor-caso-FB/FB-MC26.txt
mejor-caso-FB,FB-MC-27,27,0,instancias/mejor-caso-FB/FB-MC27.txt
mejor-caso-FB,FB-MC-28,28,0,instancias/mejor-caso-FB/FB-MC28.txt
mejor-caso-FB,FB-MC-29,29,0,instancias/mejor-caso-FB/FB-MC29.txt
mejor-caso-FB,FB-MC-30,30,0,instancias/mejor-caso-FB/FB-MC30.txt
mejor-caso-FB,FB-MC-31,31,0,instancias/mejor-caso-FB/FB-MC31.txt
mejor-caso-FB,FB-MC-32,32,0,instancias/mejor-caso-FB/FB-MC32.txt
mejor-caso-FB,FB-MC-33,33,0,instancias/mejor-caso-FB/FB-MC33.txt
mejor-caso-FB,FB-MC-34,34,0,instancias/mejor-caso-FB/FB-MC34.txt
