dataset,instancia,n,R,archivo
peor-caso-BT-F,BT-F-PC-1,1,1,instancias/peor-caso-BT-F/BT-F-PC-1.txt
peor-caso-BT-F,BT-F-PC-2,2,3,instancias/peor-caso-BT-F/BT-F-PC-2.txt
peor-caso-BT-F,BT-F-PC-3,3,6,instancias/peor-caso-BT-F/BT-F-PC-3.txt
peor-caso-BT-F,BT-F-PC-4,4,10,instancias/peor-caso-BT-F/BT-F-PC-4.txt
peor-caso-BT-F,BT-F-PC-5,5,15,instancias/peor-caso-BT-F/BT-F-PC-5.txt
peor-caso-BT-F,BT-F-PC-6,6,21,instancias/peor-caso-BT-F/BT-F-PC-6.txt
peor-caso-BT-F,BT-F-PC-7,7,28,instancias/peor-caso-BT-F/BT-F-PC-7.txt
peor-caso-BT-F,BT-F-PC-8,8,36,instancias/peor-caso-BT-F/BT-F-PC-8.txt
peor-caso-BT-F,BT-F-PC-9,9,45,instancias/peor-caso-BT-F/BT-F-PC-9.txt
peor-caso-BT-F,BT-F-PC-10,10,55,instancias/peor-caso-BT-F/BT-F-PC-10.txt
peor-caso-BT-F,BT-F-PC-11,11,66,instancias/peor-caso-BT-F/BT-F-PC-11.txt
peor-caso-BT-F,BT-F-PC-12,12,78,instancias/peor-caso-BT-F/BT-F-PC-12.txt
peor-caso-BT-F,BT-F-PC-13,13,91,instancias/peor-caso-BT-F/BT-F-PC-13.txt
peor-caso-BT-F,BT-F-PC-14,14,105,instancias/peor-caso-BT-F/BT-F-PC-14.txt
peor-caso-BT-F,BT-F-PC-15,15,120,instancias/peor-caso-BT-F/BT-F-PC-15.txt
peor-caso-BT-F,BT-F-PC-16,16,136,instancias/peor-caso-BT-F/BT-F-PC-16.txt
peor-caso-BT-F,BT-F-PC-17,17,153,instancias/peor-caso-BT-F/BT-F-PC-17.txt
peor-caso-BT-F,BT-F-PC-18,18,171,instancias/peor-caso-BT-F/BT-F-PC-18.txt
peor-caso-BT-F,BT-F-PC-19,19,190,instancias/peor-caso-BT-F/BT-F-PC-19.txt
peor-caso-BT-F,BT-F-PC-20,20,210,instancias/peor-caso-BT-F/BT-F-PC-20.txt
peor-caso-BT-F,BT-F-PC-21,21,231,instancias/peor-caso-BT-F/BT-F-PC-21.txt
peor-caso-BT-F,BT-F-PC-22,22,253,instancias/peor-caso-BT-F/BT-F-PC-22.txt
peor-caso-BT-F,BT-F-PC-23,23,276,instancias/peor-caso-BT-F/BT-F-PC-23.txt
peor-caso-BT-F,BT-F-PC-24,24,300,instancias/peor-caso-BT-F/BT-F-PC-24.txt
peor-caso-BT-F,BT-F-PC-25,25,325,instancias/peor-caso-BT-F/BT-F-PC-25.txt
peor-caso-BT-F,BT-F-PC-26,26,351,instancias/peor-caso-BT-F/BT-F-PC-26.txt
peor-caso-BT-F,BT-F-PC-27,27,378,instancias/peor-caso-BT-F/BT-F-PC-27.txt
peor-caso-BT-F,BT-F-PC-28,28,406,instancias/peor-caso-BT-F/BT-F-PC-28.txt
peor-caso-BT-F,BT-F-PC-29,29,435,instancias/peor-caso-BT-F/BT-F-PC-29.txt
peor-caso-BT-F,BT-F-PC-30,30,465,instancias/peor-caso-BT-F/BT-F-PC-30.txt
