dataset,instancia,n,R,archivo
random-FB,FB-R-1,1,244,instancias/random-FB/FB-R1.txt
random-FB,FB-R-2,2,395,instancias/random-FB/FB-R2.txt
random-FB,FB-R-3,3,9,instancias/random-FB/FB-R3.txt
random-FB,FB-R-4,4,222,instancias/random-FB/FB-R4.txt
random-FB,FB-R-5,5,758,instancias/random-FB/FB-R5.txt
random-FB,FB-R-6,6,546,instancias/random-FB/FB-R6.txt
random-FB,FB-R-7,7,426,instancias/random-FB/FB-R7.txt
random-FB,FB-R-8,8,32,instancias/random-FB/FB-R8.txt
random-FB,FB-R-9,9,80,instancias/random-FB/FB-R9.txt
random-FB,FB-R-10,10,100,instancias/random-FB/FB-R10.txt
random-FB,FB-R-11,11,229,instancias/random-FB/FB-R11.txt
random-FB,FB-R-12,12,721,instancias/random-FB/FB-R12.txt
random-FB,FB-R-13,13,149,instancias/random-FB/FB-R13.txt
random-FB,FB-R-14,14,201,instancias/random-FB/FB-R14.txt
random-FB,FB-R-15,15,834,instancias/random-FB/FB-R15.txt
random-FB,FB-R-16,16,934,instancias/random-FB/FB-R16.txt
random-FB,FB-R-17,17,28,instancias/random-FB/FB-R17.txt
random-FB,FB-R-18,18,140,instancias/random-FB/FB-R18.txt
random-FB,FB-R-19,19,515,instancias/random-FB/FB-R19.txt
random-FB,FB-R-20,20,913,instancias/random-FB/FB-R20.txt
random-FB,FB-R-21,21,633,instancias/random-FB/FB-R21.txt
random-FB,FB-R-22,22,298,instancias/random-FB/FB-R22.txt
random-FB,FB-R-23,23,618,instancias/random-FB/FB-R23.txt
random-FB,FB-R-24,24,213,instancias/random-FB/FB-R24.txt
random-FB,FB-R-25,25,657,instancias/random-FB/FB-R25.txt
random-FB,FB-R-26,26,819,instancias/random-FB/FB-R26.txt
random-FB,FB-R-27,27,405,instancias/random-FB/FB-R27.txt
random-FB,FB-R-28,28,867,instancias/random-FB/FB-R28.txt
random-FB,FB-R-29,29,213,instancias/random-FB/FB-R29.txt
random-FB,FB-R-30,30,47,instancias/random-FB/FB-R30.txt
random-FB,FB-R-31,31,101,instancias/random-FB/FB-R31.txt
random-FB,FB-R-32,32,205,instancias/random-FB/FB-R32.txt
random-FB,FB-R-33,33,273,instancias/random-FB/FB-R33.txt
random-FB,FB-R-34,34,659,instancias/random-FB/FB-R34.txt
