,dataset,instancia,n,R,archivo
0,ratio-resistencia>1,>1-1,1,906,/instancias/ratio-resistencia>1/>1-1.txt
1,ratio-resistencia>1,>1-2,2,1003,/instancias/ratio-resistencia>1/>1-2.txt
2,ratio-resistencia>1,>1-3,3,1100,/instancias/ratio-resistencia>1/>1-3.txt
3,ratio-resistencia>1,>1-4,4,2088,/instancias/ratio-resistencia>1/>1-4.txt
4,ratio-resistencia>1,>1-5,5,2898,/instancias/ratio-resistencia>1/>1-5.txt
5,ratio-resistencia>1,>1-6,6,3434,/instancias/ratio-resistencia>1/>1-6.txt
6,ratio-resistencia>1,>1-7,7,3069,/instancias/ratio-resistencia>1/>1-7.txt
7,ratio-resistencia>1,>1-8,8,4333,/instancias/ratio-resistencia>1/>1-8.txt
8,ratio-resistencia>1,>1-9,9,4592,/instancias/ratio-resistencia>1/>1-9.txt
9,ratio-resistencia>1,>1-10,10,5244,/instancias/ratio-resistencia>1/>1-10.txt
10,ratio-resistencia>1,>1-11,11,5143,/instancias/ratio-resistencia>1/>1-11.txt
11,ratio-resistencia>1,>1-12,12,6683,/instancias/ratio-resistencia>1/>1-12.txt
12,ratio-resistencia>1,>1-13,13,5921,/instancias/ratio-resistencia>1/>1-13.txt
13,ratio-resistencia>1,>1-14,14,6330,/instancias/ratio-resistencia>1/>1-14.txt
14,ratio-resistencia>1,>1-15,15,9271,/instancias/ratio-resistencia>1/>1-15.txt
15,ratio-resistencia>1,>1-16,16,7454,/instancias/ratio-resistencia>1/>1-16.txt
16,ratio-resistencia>1,>1-17,17,8825,/instancias/ratio-resistencia>1/>1-17.txt
17,ratio-resistencia>1,>1-18,18,8832,/instancias/ratio-resistencia>1/>1-18.txt
18,ratio-resistencia>1,>1-19,19,9028,/instancias/ratio-resistencia>1/>1-19.txt
19,ratio-resistencia>1,>1-20,20,9539,/instancias/ratio-resistencia>1/>1-20.txt
20,ratio-resistencia>1,>1-21,21,10519,/instancias/ratio-resistencia>1/>1-21.txt
21,ratio-resistencia>1,>1-22,22,9182,/instancias/ratio-resistencia>1/>1-22.txt
22,ratio-resistencia>1,>1-23,23,10766,/instancias/ratio-resistencia>1/>1-23.txt
23,ratio-resistencia>1,>1-24,24,10986,/instancias/ratio-resistencia>1/>1-24.txt
24,ratio-resistencia>1,>1-25,25,11723,/instancias/ratio-resistencia>1/>1-25.txt
25,ratio-resistencia>1,>1-26,26,13573,/instancias/ratio-resistencia>1/>1-26.txt
26,ratio-resistencia>1,>1-27,27,13299,/instancias/ratio-resistencia>1/>1-27.txt
27,ratio-resistencia>1,>1-28,28,14160,/instancias/ratio-resistencia>1/>1-28.txt
28,ratio-resistencia>1,>1-29,29,13969,/instancias/ratio-resistencia>1/>1-29.txt
29,ratio-resistencia>1,>1-30,30,14664,/instancias/ratio-resistencia>1/>1-30.txt
30,ratio-resistencia>1,>1-31,31,14098,/instancias/ratio-resistencia>1/>1-31.txt
31,ratio-resistencia>1,>1-32,32,13717,/instancias/ratio-resistencia>1/>1-32.txt
32,ratio-resistencia>1,>1-33,33,15787,/instancias/ratio-resistencia>1/>1-33.txt
33,ratio-resistencia>1,>1-34,34,16422,/instancias/ratio-resistencia>1/>1-34.txt
34,ratio-resistencia>1,>1-35,35,17158,/instancias/ratio-resistencia>1/>1-35.txt
35,ratio-resistencia>1,>1-36,36,16853,/instancias/ratio-resistencia>1/>1-36.txt
36,ratio-resistencia>1,>1-37,37,18317,/instancias/ratio-resistencia>1/>1-37.txt
37,ratio-resistencia>1,>1-38,38,17108,/instancias/ratio-resistencia>1/>1-38.txt
38,ratio-resistencia>1,>1-39,39,19352,/instancias/ratio-resistencia>1/>1-39.txt
39,ratio-resistencia>1,>1-40,40,18162,/instancias/ratio-resistencia>1/>1-40.txt
40,ratio-resistencia>1,>1-41,41,21522,/instancias/ratio-resistencia>1/>1-41.txt
41,ratio-resistencia>1,>1-42,42,18790,/instancias/ratio-resistencia>1/>1-42.txt
