dataset,instancia,n,R,archivo
ratio-resistenciaM1,M1-1,1,996,instancias/ratio-resistenciaM1/M1-1.txt
ratio-resistenciaM1,M1-2,2,1200,instancias/ratio-resistenciaM1/M1-2.txt
ratio-resistenciaM1,M1-3,3,1379,instancias/ratio-resistenciaM1/M1-3.txt
ratio-resistenciaM1,M1-4,4,1261,instancias/ratio-resistenciaM1/M1-4.txt
ratio-resistenciaM1,M1-5,5,1344,instancias/ratio-resistenciaM1/M1-5.txt
ratio-resistenciaM1,M1-6,6,2212,instancias/ratio-resistenciaM1/M1-6.txt
ratio-resistenciaM1,M1-7,7,4571,instancias/ratio-resistenciaM1/M1-7.txt
ratio-resistenciaM1,M1-8,8,4773,instancias/ratio-resistenciaM1/M1-8.txt
ratio-resistenciaM1,M1-9,9,3260,instancias/ratio-resistenciaM1/M1-9.txt
ratio-resistenciaM1,M1-10,10,5573,instancias/ratio-resistenciaM1/M1-10.txt
ratio-resistenciaM1,M1-11,11,6556,instancias/ratio-resistenciaM1/M1-11.txt
ratio-resistenciaM1,M1-12,12,4997,instancias/ratio-resistenciaM1/M1-12.txt
ratio-resistenciaM1,M1-13,13,4612,instancias/ratio-resistenciaM1/M1-13.txt
ratio-resistenciaM1,M1-14,14,5345,instancias/ratio-resistenciaM1/M1-14.txt
ratio-resistenciaM1,M1-15,15,8114,instancias/ratio-resistenciaM1/M1-15.txt
ratio-resistenciaM1,M1-16,16,8740,instancias/ratio-resistenciaM1/M1-16.txt
ratio-resistenciaM1,M1-17,17,7501,instancias/ratio-resistenciaM1/M1-17.txt
ratio-resistenciaM1,M1-18,18,8377,instancias/ratio-resistenciaM1/M1-18.txt
ratio-resistenciaM1,M1-19,19,5896,instancias/ratio-resistenciaM1/M1-19.txt
ratio-resistenciaM1,M1-20,20,11009,instancias/ratio-resistenciaM1/M1-20.txt
ratio-resistenciaM1,M1-21,21,10295,instancias/ratio-resistenciaM1/M1-21.txt
ratio-resistenciaM1,M1-22,22,12628,instancias/ratio-resistenciaM1/M1-22.txt
ratio-resistenciaM1,M1-23,23,11836,instancias/ratio-resistenciaM1/M1-23.txt
ratio-resistenciaM1,M1-24,24,14328,instancias/ratio-resistenciaM1/M1-24.txt
ratio-resistenciaM1,M1-25,25,15164,instancias/ratio-resistenciaM1/M1-25.txt
ratio-resistenciaM1,M1-26,26,14029,instancias/ratio-resistenciaM1/M1-26.txt
ratio-resistenciaM1,M1-27,27,15624,instancias/ratio-resistenciaM1/M1-27.txt
ratio-resistenciaM1,M1-28,28,13280,instancias/ratio-resistenciaM1/M1-28.txt
ratio-resistenciaM1,M1-29,29,12879,instancias/ratio-resistenciaM1/M1-29.txt
ratio-resistenciaM1,M1-30,30,15040,instancias/ratio-resistenciaM1/M1-30.txt
ratio-resistenciaM1,M1-31,31,17486,instancias/ratio-resistenciaM1/M1-31.txt
ratio-resistenciaM1,M1-32,32,15349,instancias/ratio-resistenciaM1/M1-32.txt
ratio-resistenciaM1,M1-33,33,20848,instancias/ratio-resistenciaM1/M1-33.txt
ratio-resistenciaM1,M1-34,34,14718,instancias/ratio-resistenciaM1/M1-34.txt
ratio-resistenciaM1,M1-35,35,17452,instancias/ratio-resistenciaM1/M1-35.txt
ratio-resistenciaM1,M1-36,36,18124,instancias/ratio-resistenciaM1/M1-36.txt
ratio-resistenciaM1,M1-37,37,14383,instancias/ratio-resistenciaM1/M1-37.txt
ratio-resistenciaM1,M1-38,38,22014,instancias/ratio-resistenciaM1/M1-38.txt
ratio-resistenciaM1,M1-39,39,18619,instancias/ratio-resistenciaM1/M1-39.txt
ratio-resistenciaM1,M1-40,40,23358,instancias/ratio-resistenciaM1/M1-40.txt
ratio-resistenciaM1,M1-41,41,21751,instancias/ratio-resistenciaM1/M1-41.txt
ratio-resistenciaM1,M1-42,42,19445,instancias/ratio-resistenciaM1/M1-42.txt
ratio-resistenciaM1,M1-43,43,21160,instancias/ratio-resistenciaM1/M1-43.txt
ratio-resistenciaM1,M1-44,44,21964,instancias/ratio-resistenciaM1/M1-44.txt
ratio-resistenciaM1,M1-45,45,20229,instancias/ratio-resistenciaM1/M1-45.txt
ratio-resistenciaM1,M1-46,46,24779,instancias/ratio-resistenciaM1/M1-46.txt
ratio-resistenciaM1,M1-47,47,20136,instancias/ratio-resistenciaM1/M1-47.txt
ratio-resistenciaM1,M1-48,48,27726,instancias/ratio-resistenciaM1/M1-48.txt
ratio-resistenciaM1,M1-49,49,28257,instancias/ratio-resistenciaM1/M1-49.txt
ratio-resistenciaM1,M1-50,50,27302,instancias/ratio-resistenciaM1/M1-50.txt
ratio-resistenciaM1,M1-51,51,26605,instancias/ratio-resistenciaM1/M1-51.txt
ratio-resistenciaM1,M1-52,52,26724,instancias/ratio-resistenciaM1/M1-52.txt
ratio-resistenciaM1,M1-53,53,23816,instancias/ratio-resistenciaM1/M1-53.txt
ratio-resistenciaM1,M1-54,54,26781,instancias/ratio-resistenciaM1/M1-54.txt
ratio-resistenciaM1,M1-55,55,29782,instancias/ratio-resistenciaM1/M1-55.txt
ratio-resistenciaM1,M1-56,56,27210,instancias/ratio-resistenciaM1/M1-56.txt
ratio-resistenciaM1,M1-57,57,29426,instancias/ratio-resistenciaM1/M1-57.txt
ratio-resistenciaM1,M1-58,58,32496,instancias/ratio-resistenciaM1/M1-58.txt
ratio-resistenciaM1,M1-59,59,28376,instancias/ratio-resistenciaM1/M1-59.txt
ratio-resistenciaM1,M1-60,60,31423,instancias/ratio-resistenciaM1/M1-60.txt
ratio-resistenciaM1,M1-61,61,32668,instancias/ratio-resistenciaM1/M1-61.txt
ratio-resistenciaM1,M1-62,62,29553,instancias/ratio-resistenciaM1/M1-62.txt
ratio-resistenciaM1,M1-63,63,33152,instancias/ratio-resistenciaM1/M1-63.txt
ratio-resistenciaM1,M1-64,64,28026,instancias/ratio-resistenciaM1/M1-64.txt
ratio-resistenciaM1,M1-65,65,36773,instancias/ratio-resistenciaM1/M1-65.txt
ratio-resistenciaM1,M1-66,66,33437,instancias/ratio-resistenciaM1/M1-66.txt
ratio-resistenciaM1,M1-67,67,29344,instancias/ratio-resistenciaM1/M1-67.txt
ratio-resistenciaM1,M1-68,68,35186,instancias/ratio-resistenciaM1/M1-68.txt
ratio-resistenciaM1,M1-69,69,34465,instancias/ratio-resistenciaM1/M1-69.txt
ratio-resistenciaM1,M1-70,70,38678,instancias/ratio-resistenciaM1/M1-70.txt
ratio-resistenciaM1,M1-71,71,33655,instancias/ratio-resistenciaM1/M1-71.txt
ratio-resistenciaM1,M1-72,72,35372,instancias/ratio-resistenciaM1/M1-72.txt
ratio-resistenciaM1,M1-73,73,36688,instancias/ratio-resistenciaM1/M1-73.txt
ratio-resistenciaM1,M1-74,74,30546,instancias/ratio-resistenciaM1/M1-74.txt
ratio-resistenciaM1,M1-75,75,39504,instancias/ratio-resistenciaM1/M1-75.txt
ratio-resistenciaM1,M1-76,76,36870,instancias/ratio-resistenciaM1/M1-76.txt
ratio-resistenciaM1,M1-77,77,40708,instancias/ratio-resistenciaM1/M1-77.txt
ratio-resistenciaM1,M1-78,78,42281,instancias/ratio-resistenciaM1/M1-78.txt
ratio-resistenciaM1,M1-79,79,36314,instancias/ratio-resistenciaM1/M1-79.txt
ratio-resistenciaM1,M1-80,80,39503,instancias/ratio-resistenciaM1/M1-80.txt
ratio-resistenciaM1,M1-81,81,41340,instancias/ratio-resistenciaM1/M1-81.txt
ratio-resistenciaM1,M1-82,82,38734,instancias/ratio-resistenciaM1/M1-82.txt
ratio-resistenciaM1,M1-83,83,37479,instancias/ratio-resistenciaM1/M1-83.txt
ratio-resistenciaM1,M1-84,84,45233,instancias/ratio-resistenciaM1/M1-84.txt
ratio-resistenciaM1,M1-85,85,43344,instancias/ratio-resistenciaM1/M1-85.txt
ratio-resistenciaM1,M1-86,86,45668,instancias/ratio-resistenciaM1/M1-86.txt
ratio-resistenciaM1,M1-87,87,40399,instancias/ratio-resistenciaM1/M1-87.txt
ratio-resistenciaM1,M1-88,88,47568,instancias/ratio-resistenciaM1/M1-88.txt
ratio-resistenciaM1,M1-89,89,45197,instancias/ratio-resistenciaM1/M1-89.txt
ratio-resistenciaM1,M1-90,90,50263,instancias/ratio-resistenciaM1/M1-90.txt
ratio-resistenciaM1,M1-91,91,44113,instancias/ratio-resistenciaM1/M1-91.txt
ratio-resistenciaM1,M1-92,92,43998,instancias/ratio-resistenciaM1/M1-92.txt
ratio-resistenciaM1,M1-93,93,44405,instancias/ratio-resistenciaM1/M1-93.txt
ratio-resistenciaM1,M1-94,94,49069,instancias/ratio-resistenciaM1/M1-94.txt
ratio-resistenciaM1,M1-95,95,50020,instancias/ratio-resistenciaM1/M1-95.txt
ratio-resistenciaM1,M1-96,96,50362,instancias/ratio-resistenciaM1/M1-96.txt
ratio-resistenciaM1,M1-97,97,47190,instancias/ratio-resistenciaM1/M1-97.txt
ratio-resistenciaM1,M1-98,98,44556,instancias/ratio-resistenciaM1/M1-98.txt
ratio-resistenciaM1,M1-99,99,51724,instancias/ratio-resistenciaM1/M1-99.txt
ratio-resistenciaM1,M1-100,100,48977,instancias/ratio-resistenciaM1/M1-100.txt
ratio-resistenciaM1,M1-101,101,54381,instancias/ratio-resistenciaM1/M1-101.txt
ratio-resistenciaM1,M1-102,102,46426,instancias/ratio-resistenciaM1/M1-102.txt
ratio-resistenciaM1,M1-103,103,50170,instancias/ratio-resistenciaM1/M1-103.txt
ratio-resistenciaM1,M1-104,104,50876,instancias/ratio-resistenciaM1/M1-104.txt
ratio-resistenciaM1,M1-105,105,56360,instancias/ratio-resistenciaM1/M1-105.txt
ratio-resistenciaM1,M1-106,106,56673,instancias/ratio-resistenciaM1/M1-106.txt
ratio-resistenciaM1,M1-107,107,58366,instancias/ratio-resistenciaM1/M1-107.txt
ratio-resistenciaM1,M1-108,108,52426,instancias/ratio-resistenciaM1/M1-108.txt
ratio-resistenciaM1,M1-109,109,60660,instancias/ratio-resistenciaM1/M1-109.txt
ratio-resistenciaM1,M1-110,110,57893,instancias/ratio-resistenciaM1/M1-110.txt
ratio-resistenciaM1,M1-111,111,57519,instancias/ratio-resistenciaM1/M1-111.txt
ratio-resistenciaM1,M1-112,112,56725,instancias/ratio-resistenciaM1/M1-112.txt
ratio-resistenciaM1,M1-113,113,54701,instancias/ratio-resistenciaM1/M1-113.txt
ratio-resistenciaM1,M1-114,114,53071,instancias/ratio-resistenciaM1/M1-114.txt
ratio-resistenciaM1,M1-115,115,57008,instancias/ratio-resistenciaM1/M1-115.txt
ratio-resistenciaM1,M1-116,116,59857,instancias/ratio-resistenciaM1/M1-116.txt
ratio-resistenciaM1,M1-117,117,58874,instancias/ratio-resistenciaM1/M1-117.txt
ratio-resistenciaM1,M1-118,118,60644,instancias/ratio-resistenciaM1/M1-118.txt
ratio-resistenciaM1,M1-119,119,60836,instancias/ratio-resistenciaM1/M1-119.txt
ratio-resistenciaM1,M1-120,120,61071,instancias/ratio-resistenciaM1/M1-120.txt
ratio-resistenciaM1,M1-121,121,60664,instancias/ratio-resistenciaM1/M1-121.txt
ratio-resistenciaM1,M1-122,122,61049,instancias/ratio-resistenciaM1/M1-122.txt
ratio-resistenciaM1,M1-123,123,65351,instancias/ratio-resistenciaM1/M1-123.txt
ratio-resistenciaM1,M1-124,124,59039,instancias/ratio-resistenciaM1/M1-124.txt
ratio-resistenciaM1,M1-125,125,66926,instancias/ratio-resistenciaM1/M1-125.txt
ratio-resistenciaM1,M1-126,126,66005,instancias/ratio-resistenciaM1/M1-126.txt
ratio-resistenciaM1,M1-127,127,58257,instancias/ratio-resistenciaM1/M1-127.txt
ratio-resistenciaM1,M1-128,128,66426,instancias/ratio-resistenciaM1/M1-128.txt
ratio-resistenciaM1,M1-129,129,61506,instancias/ratio-resistenciaM1/M1-129.txt
ratio-resistenciaM1,M1-130,130,63555,instancias/ratio-resistenciaM1/M1-130.txt
ratio-resistenciaM1,M1-131,131,65692,instancias/ratio-resistenciaM1/M1-131.txt
ratio-resistenciaM1,M1-132,132,71017,instancias/ratio-resistenciaM1/M1-132.txt
ratio-resistenciaM1,M1-133,133,70571,instancias/ratio-resistenciaM1/M1-133.txt
ratio-resistenciaM1,M1-134,134,64516,instancias/ratio-resistenciaM1/M1-134.txt
ratio-resistenciaM1,M1-135,135,63554,instancias/ratio-resistenciaM1/M1-135.txt
ratio-resistenciaM1,M1-136,136,69565,instancias/ratio-resistenciaM1/M1-136.txt
ratio-resistenciaM1,M1-137,137,67415,instancias/ratio-resistenciaM1/M1-137.txt
ratio-resistenciaM1,M1-138,138,70018,instancias/ratio-resistenciaM1/M1-138.txt
ratio-resistenciaM1,M1-139,139,73456,instancias/ratio-resistenciaM1/M1-139.txt
ratio-resistenciaM1,M1-140,140,73003,instancias/ratio-resistenciaM1/M1-140.txt
ratio-resistenciaM1,M1-141,141,71652,instancias/ratio-resistenciaM1/M1-141.txt
ratio-resistenciaM1,M1-142,142,70284,instancias/ratio-resistenciaM1/M1-142.txt
ratio-resistenciaM1,M1-143,143,74536,instancias/ratio-resistenciaM1/M1-143.txt
ratio-resistenciaM1,M1-144,144,70064,instancias/ratio-resistenciaM1/M1-144.txt
ratio-resistenciaM1,M1-145,145,71170,instancias/ratio-resistenciaM1/M1-145.txt
ratio-resistenciaM1,M1-146,146,66893,instancias/ratio-resistenciaM1/M1-146.txt
ratio-resistenciaM1,M1-147,147,75505,instancias/ratio-resistenciaM1/M1-147.txt
ratio-resistenciaM1,M1-148,148,72094,instancias/ratio-resistenciaM1/M1-148.txt
ratio-resistenciaM1,M1-149,149,67774,instancias/ratio-resistenciaM1/M1-149.txt
ratio-resistenciaM1,M1-150,150,76515,instancias/ratio-resistenciaM1/M1-150.txt
ratio-resistenciaM1,M1-151,151,76113,instancias/ratio-resistenciaM1/M1-151.txt
ratio-resistenciaM1,M1-152,152,72281,instancias/ratio-resistenciaM1/M1-152.txt
ratio-resistenciaM1,M1-153,153,76506,instancias/ratio-resistenciaM1/M1-153.txt
ratio-resistenciaM1,M1-154,154,74466,instancias/ratio-resistenciaM1/M1-154.txt
ratio-resistenciaM1,M1-155,155,69012,instancias/ratio-resistenciaM1/M1-155.txt
ratio-resistenciaM1,M1-156,156,80630,instancias/ratio-resistenciaM1/M1-156.txt
ratio-resistenciaM1,M1-157,157,83214,instancias/ratio-resistenciaM1/M1-157.txt
ratio-resistenciaM1,M1-158,158,83732,instancias/ratio-resistenciaM1/M1-158.txt
ratio-resistenciaM1,M1-159,159,82810,instancias/ratio-resistenciaM1/M1-159.txt
