dataset,instancia,n,R,archivo
ratio-resistenciam1,m1-1,1,546,instancias/ratio-resistenciam1/m1-1.txt
ratio-resistenciam1,m1-2,2,1519,instancias/ratio-resistenciam1/m1-2.txt
ratio-resistenciam1,m1-3,3,993,instancias/ratio-resistenciam1/m1-3.txt
ratio-resistenciam1,m1-4,4,2355,instancias/ratio-resistenciam1/m1-4.txt
ratio-resistenciam1,m1-5,5,2549,instancias/ratio-resistenciam1/m1-5.txt
ratio-resistenciam1,m1-6,6,2797,instancias/ratio-resistenciam1/m1-6.txt
ratio-resistenciam1,m1-7,7,3290,instancias/ratio-resistenciam1/m1-7.txt
ratio-resistenciam1,m1-8,8,5292,instancias/ratio-resistenciam1/m1-8.txt
ratio-resistenciam1,m1-9,9,4491,instancias/ratio-resistenciam1/m1-9.txt
ratio-resistenciam1,m1-10,10,5973,instancias/ratio-resistenciam1/m1-10.txt
ratio-resistenciam1,m1-11,11,6357,instancias/ratio-resistenciam1/m1-11.txt
ratio-resistenciam1,m1-12,12,5249,instancias/ratio-resistenciam1/m1-12.txt
ratio-resistenciam1,m1-13,13,7233,instancias/ratio-resistenciam1/m1-13.txt
ratio-resistenciam1,m1-14,14,6292,instancias/ratio-resistenciam1/m1-14.txt
ratio-resistenciam1,m1-15,15,7906,instancias/ratio-resistenciam1/m1-15.txt
ratio-resistenciam1,m1-16,16,8228,instancias/ratio-resistenciam1/m1-16.txt
ratio-resistenciam1,m1-17,17,9913,instancias/ratio-resistenciam1/m1-17.txt
ratio-resistenciam1,m1-18,18,8978,instancias/ratio-resistenciam1/m1-18.txt
ratio-resistenciam1,m1-19,19,6361,instancias/ratio-resistenciam1/m1-19.txt
ratio-resistenciam1,m1-20,20,10331,instancias/ratio-resistenciam1/m1-20.txt
ratio-resistenciam1,m1-21,21,8573,instancias/ratio-resistenciam1/m1-21.txt
ratio-resistenciam1,m1-22,22,11525,instancias/ratio-resistenciam1/m1-22.txt
ratio-resistenciam1,m1-23,23,13572,instancias/ratio-resistenciam1/m1-23.txt
ratio-resistenciam1,m1-24,24,14916,instancias/ratio-resistenciam1/m1-24.txt
ratio-resistenciam1,m1-25,25,12500,instancias/ratio-resistenciam1/m1-25.txt
ratio-resistenciam1,m1-26,26,13140,instancias/ratio-resistenciam1/m1-26.txt
ratio-resistenciam1,m1-27,27,10815,instancias/ratio-resistenciam1/m1-27.txt
ratio-resistenciam1,m1-28,28,11552,instancias/ratio-resistenciam1/m1-28.txt
ratio-resistenciam1,m1-29,29,14580,instancias/ratio-resistenciam1/m1-29.txt
ratio-resistenciam1,m1-30,30,13844,instancias/ratio-resistenciam1/m1-30.txt
ratio-resistenciam1,m1-31,31,14077,instancias/ratio-resistenciam1/m1-31.txt
ratio-resistenciam1,m1-32,32,15636,instancias/ratio-resistenciam1/m1-32.txt
ratio-resistenciam1,m1-33,33,19017,instancias/ratio-resistenciam1/m1-33.txt
ratio-resistenciam1,m1-34,34,16426,instancias/ratio-resistenciam1/m1-34.txt
ratio-resistenciam1,m1-35,35,18857,instancias/ratio-resistenciam1/m1-35.txt
ratio-resistenciam1,m1-36,36,16854,instancias/ratio-resistenciam1/m1-36.txt
ratio-resistenciam1,m1-37,37,14523,instancias/ratio-resistenciam1/m1-37.txt
ratio-resistenciam1,m1-38,38,23345,instancias/ratio-resistenciam1/m1-38.txt
ratio-resistenciam1,m1-39,39,21223,instancias/ratio-resistenciam1/m1-39.txt
ratio-resistenciam1,m1-40,40,21560,instancias/ratio-resistenciam1/m1-40.txt
ratio-resistenciam1,m1-41,41,23969,instancias/ratio-resistenciam1/m1-41.txt
ratio-resistenciam1,m1-42,42,22449,instancias/ratio-resistenciam1/m1-42.txt
ratio-resistenciam1,m1-43,43,20813,instancias/ratio-resistenciam1/m1-43.txt
ratio-resistenciam1,m1-44,44,19653,instancias/ratio-resistenciam1/m1-44.txt
ratio-resistenciam1,m1-45,45,21676,instancias/ratio-resistenciam1/m1-45.txt
ratio-resistenciam1,m1-46,46,20942,instancias/ratio-resistenciam1/m1-46.txt
ratio-resistenciam1,m1-47,47,22698,instancias/ratio-resistenciam1/m1-47.txt
ratio-resistenciam1,m1-48,48,21840,instancias/ratio-resistenciam1/m1-48.txt
ratio-resistenciam1,m1-49,49,24219,instancias/ratio-resistenciam1/m1-49.txt
ratio-resistenciam1,m1-50,50,24339,instancias/ratio-resistenciam1/m1-50.txt
ratio-resistenciam1,m1-51,51,26141,instancias/ratio-resistenciam1/m1-51.txt
ratio-resistenciam1,m1-52,52,21989,instancias/ratio-resistenciam1/m1-52.txt
ratio-resistenciam1,m1-53,53,27069,instancias/ratio-resistenciam1/m1-53.txt
ratio-resistenciam1,m1-54,54,23636,instancias/ratio-resistenciam1/m1-54.txt
ratio-resistenciam1,m1-55,55,27305,instancias/ratio-resistenciam1/m1-55.txt
ratio-resistenciam1,m1-56,56,25802,instancias/ratio-resistenciam1/m1-56.txt
ratio-resistenciam1,m1-57,57,29423,instancias/ratio-resistenciam1/m1-57.txt
ratio-resistenciam1,m1-58,58,29342,instancias/ratio-resistenciam1/m1-58.txt
ratio-resistenciam1,m1-59,59,29932,instancias/ratio-resistenciam1/m1-59.txt
ratio-resistenciam1,m1-60,60,27550,instancias/ratio-resistenciam1/m1-60.txt
ratio-resistenciam1,m1-61,61,36328,instancias/ratio-resistenciam1/m1-61.txt
ratio-resistenciam1,m1-62,62,28532,instancias/ratio-resistenciam1/m1-62.txt
ratio-resistenciam1,m1-63,63,31172,instancias/ratio-resistenciam1/m1-63.txt
ratio-resistenciam1,m1-64,64,30650,instancias/ratio-resistenciam1/m1-64.txt
ratio-resistenciam1,m1-65,65,36777,instancias/ratio-resistenciam1/m1-65.txt
ratio-resistenciam1,m1-66,66,34955,instancias/ratio-resistenciam1/m1-66.txt
ratio-resistenciam1,m1-67,67,30908,instancias/ratio-resistenciam1/m1-67.txt
ratio-resistenciam1,m1-68,68,35105,instancias/ratio-resistenciam1/m1-68.txt
ratio-resistenciam1,m1-69,69,35520,instancias/ratio-resistenciam1/m1-69.txt
ratio-resistenciam1,m1-70,70,37536,instancias/ratio-resistenciam1/m1-70.txt
ratio-resistenciam1,m1-71,71,32705,instancias/ratio-resistenciam1/m1-71.txt
ratio-resistenciam1,m1-72,72,34652,instancias/ratio-resistenciam1/m1-72.txt
ratio-resistenciam1,m1-73,73,39425,instancias/ratio-resistenciam1/m1-73.txt
ratio-resistenciam1,m1-74,74,36390,instancias/ratio-resistenciam1/m1-74.txt
ratio-resistenciam1,m1-75,75,35046,instancias/ratio-resistenciam1/m1-75.txt
ratio-resistenciam1,m1-76,76,34976,instancias/ratio-resistenciam1/m1-76.txt
ratio-resistenciam1,m1-77,77,32748,instancias/ratio-resistenciam1/m1-77.txt
ratio-resistenciam1,m1-78,78,40698,instancias/ratio-resistenciam1/m1-78.txt
ratio-resistenciam1,m1-79,79,38862,instancias/ratio-resistenciam1/m1-79.txt
ratio-resistenciam1,m1-80,80,39255,instancias/ratio-resistenciam1/m1-80.txt
ratio-resistenciam1,m1-81,81,42348,instancias/ratio-resistenciam1/m1-81.txt
ratio-resistenciam1,m1-82,82,42673,instancias/ratio-resistenciam1/m1-82.txt
