dataset,instancia,n,R,archivo
todo-entra-FB,FB-TE-1,1,4,instancias/todo-entra-FB/FB-TE-1.txt
todo-entra-FB,FB-TE-2,2,96,instancias/todo-entra-FB/FB-TE-2.txt
todo-entra-FB,FB-TE-3,3,208,instancias/todo-entra-FB/FB-TE-3.txt
todo-entra-FB,FB-TE-4,4,184,instancias/todo-entra-FB/FB-TE-4.txt
todo-entra-FB,FB-TE-5,5,336,instancias/todo-entra-FB/FB-TE-5.txt
todo-entra-FB,FB-TE-6,6,321,instancias/todo-entra-FB/FB-TE-6.txt
todo-entra-FB,FB-TE-7,7,472,instancias/todo-entra-FB/FB-TE-7.txt
todo-entra-FB,FB-TE-8,8,450,instancias/todo-entra-FB/FB-TE-8.txt
todo-entra-FB,FB-TE-9,9,373,instancias/todo-entra-FB/FB-TE-9.txt
todo-entra-FB,FB-TE-10,10,466,instancias/todo-entra-FB/FB-TE-10.txt
todo-entra-FB,FB-TE-11,11,427,instancias/todo-entra-FB/FB-TE-11.txt
todo-entra-FB,FB-TE-12,12,574,instancias/todo-entra-FB/FB-TE-12.txt
todo-entra-FB,FB-TE-13,13,564,instancias/todo-entra-FB/FB-TE-13.txt
todo-entra-FB,FB-TE-14,14,677,instancias/todo-entra-FB/FB-TE-14.txt
todo-entra-FB,FB-TE-15,15,856,instancias/todo-entra-FB/FB-TE-15.txt
todo-entra-FB,FB-TE-16,16,932,instancias/todo-entra-FB/FB-TE-16.txt
todo-entra-FB,FB-TE-17,17,935,instancias/todo-entra-FB/FB-TE-17.txt
todo-entra-FB,FB-TE-18,18,923,instancias/todo-entra-FB/FB-TE-18.txt
todo-entra-FB,FB-TE-19,19,723,instancias/todo-entra-FB/FB-TE-19.txt
todo-entra-FB,FB-TE-20,20,1233,instancias/todo-entra-FB/FB-TE-20.txt
todo-entra-FB,FB-TE-21,21,1051,instancias/todo-entra-FB/FB-TE-21.txt
todo-entra-FB,FB-TE-22,22,1201,instancias/todo-entra-FB/FB-TE-22.txt
todo-entra-FB,FB-TE-23,23,1363,instancias/todo-entra-FB/FB-TE-23.txt
todo-entra-FB,FB-TE-24,24,1349,instancias/todo-entra-FB/FB-TE-24.txt
todo-entra-FB,FB-TE-25,25,1376,instancias/todo-entra-FB/FB-TE-25.txt
todo-entra-FB,FB-TE-26,26,1290,instancias/todo-entra-FB/FB-TE-26.txt
todo-entra-FB,FB-TE-27,27,1380,instancias/todo-entra-FB/FB-TE-27.txt
todo-entra-FB,FB-TE-28,28,1424,instancias/todo-entra-FB/FB-TE-28.txt
todo-entra-FB,FB-TE-29,29,1246,instancias/todo-entra-FB/FB-TE-29.txt
todo-entra-FB,FB-TE-30,30,1558,instancias/todo-entra-FB/FB-TE-30.txt
todo-entra-FB,FB-TE-31,31,1530,instancias/todo-entra-FB/FB-TE-31.txt
todo-entra-FB,FB-TE-32,32,1575,instancias/todo-entra-FB/FB-TE-32.txt
todo-entra-FB,FB-TE-33,33,1688,instancias/todo-entra-FB/FB-TE-33.txt
todo-entra-FB,FB-TE-34,34,2096,instancias/todo-entra-FB/FB-TE-34.txt
