dataset,n,R,metodo,tiempo
todo-entra-FB,1,14,FB,0.000666
todo-entra-FB,2,143,FB,0.000811
todo-entra-FB,3,122,FB,0.000923
todo-entra-FB,4,100,FB,0.001098
todo-entra-FB,5,261,FB,0.001924
todo-entra-FB,6,332,FB,0.002292
todo-entra-FB,7,446,FB,0.005415
todo-entra-FB,8,402,FB,0.006435
todo-entra-FB,9,531,FB,0.011112
todo-entra-FB,10,546,FB,0.028218
todo-entra-FB,11,517,FB,0.067856
todo-entra-FB,12,653,FB,0.079524
todo-entra-FB,13,834,FB,0.271823
todo-entra-FB,14,707,FB,0.538335
todo-entra-FB,15,851,FB,1.07717
todo-entra-FB,16,846,FB,1.76652
todo-entra-FB,17,740,FB,3.69607
todo-entra-FB,18,849,FB,6.91492
todo-entra-FB,19,915,FB,12.8184
todo-entra-FB,20,960,FB,22.1768
todo-entra-FB,21,948,FB,40.3453
todo-entra-FB,22,1317,FB,76.6477
todo-entra-FB,23,1503,FB,153.53
todo-entra-FB,24,1036,FB,310.225
todo-entra-FB,25,1421,FB,492.769
todo-entra-FB,26,1398,FB,1006.18
todo-entra-FB,27,1301,FB,2073.82
todo-entra-FB,28,1271,FB,5850.19
todo-entra-FB,29,1876,FB,11310.1
todo-entra-FB,30,1626,FB,21992.8
nada-entra-FB,1,58,FB,0.000661
nada-entra-FB,2,53,FB,0.000775
nada-entra-FB,3,53,FB,0.000949
nada-entra-FB,4,58,FB,0.001344
nada-entra-FB,5,56,FB,0.001801
nada-entra-FB,6,56,FB,0.00308
nada-entra-FB,7,53,FB,0.003524
nada-entra-FB,8,56,FB,0.005845
nada-entra-FB,9,57,FB,0.01107
nada-entra-FB,10,50,FB,0.029619
nada-entra-FB,11,53,FB,0.041101
nada-entra-FB,12,57,FB,0.080931
nada-entra-FB,13,49,FB,0.268979
nada-entra-FB,14,52,FB,0.314923
nada-entra-FB,15,52,FB,0.932697
nada-entra-FB,16,51,FB,1.73805
nada-entra-FB,17,50,FB,3.69652
nada-entra-FB,18,51,FB,6.79687
nada-entra-FB,19,51,FB,14.4683
nada-entra-FB,20,55,FB,21.225
nada-entra-FB,21,50,FB,46.4944
nada-entra-FB,22,50,FB,72.5648
nada-entra-FB,23,49,FB,131.342
nada-entra-FB,24,51,FB,238.393
nada-entra-FB,25,51,FB,497.455
nada-entra-FB,26,55,FB,1020.04
nada-entra-FB,27,49,FB,2741.63
nada-entra-FB,28,49,FB,5531.96
nada-entra-FB,29,49,FB,10965.8
nada-entra-FB,30,51,FB,22502.0
random-FB,1,868,FB,0.001395
random-FB,2,343,FB,0.001087
random-FB,3,493,FB,0.001602
random-FB,4,870,FB,0.002341
random-FB,5,729,FB,0.002696
random-FB,6,330,FB,0.004987
random-FB,7,180,FB,0.00827
random-FB,8,471,FB,0.006579
random-FB,9,43,FB,0.017221
random-FB,10,39,FB,0.033046
random-FB,11,886,FB,0.04137
random-FB,12,446,FB,0.07785
random-FB,13,626,FB,0.17804
random-FB,14,315,FB,0.437212
random-FB,15,711,FB,0.997641
random-FB,16,884,FB,2.05082
random-FB,17,787,FB,3.73853
random-FB,18,223,FB,5.83631
random-FB,19,690,FB,15.3148
