dataset,n,R,metodo,tiempo
ratio-resistenciaM1,111,57519,BT-F,531.784
ratio-resistenciaM1,112,56725,BT-F,930.353
ratio-resistenciaM1,113,54701,BT-F,1501.33
ratio-resistenciaM1,114,53071,BT-F,17440.4
ratio-resistenciaM1,115,57008,BT-F,296.671
ratio-resistenciaM1,116,59857,BT-F,2887.68
ratio-resistenciaM1,117,58874,BT-F,6983.44
ratio-resistenciaM1,118,60644,BT-F,2410.41
ratio-resistenciaM1,119,60836,BT-F,1085.96
ratio-resistenciaM1,120,61071,BT-F,4701.48
ratio-resistenciaM1,121,60664,BT-F,1032.59
ratio-resistenciaM1,122,61049,BT-F,1000.53
ratio-resistenciaM1,123,65351,BT-F,651.288
ratio-resistenciaM1,124,59039,BT-F,12241.1
ratio-resistenciaM1,125,66926,BT-F,1596.45
ratio-resistenciaM1,126,66005,BT-F,7122.61
ratio-resistenciaM1,127,58257,BT-F,81335.7
ratio-resistenciaM1,128,66426,BT-F,11657.2
ratio-resistenciaM1,129,61506,BT-F,1442.89
ratio-resistenciaM1,130,63555,BT-F,10935.4
ratio-resistenciaM1,131,65692,BT-F,20516.1
